family	order	class	phylum	kingdom	realm
Phycodnaviridae	Algavirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Phypoliviridae	Archintovirales	Aquintoviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Piccoloviridae	Bullavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Pichoviridae	Gokushovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Picobirnaviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Riboviria
Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Pieniviridae	Alpavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Pigerviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Pikkuviridae	Alpavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Pistolviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Pithoviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Piticuviridae	Bullavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
